data_reg_dt,displacement,enterprise,grade,mileage,modelname,rqno,year_oilprice
2026-06-08 12:00:06,2957,NULL,900,10.4,프런티어초장축킹캡,401020066,1715841
2026-06-08 12:00:26,1975,NULL,5,8,EF 쏘나타 2.0 LPG,401020070,1482731
2026-06-08 12:00:04,1795,NULL,4,10,EF 쏘나타 1.8 DOHC,401020072,2072085
2026-06-08 12:00:04,1795,NULL,3,11.8,EF 쏘나타 1.8 DOHC,401020073,1756004
2026-06-08 12:00:26,2976,NULL,3,7.8,Audi A6 3.0 Quattro,401020079,2656519
2026-06-08 12:00:25,2656,NULL,3,7.8,오피러스 2.7 DOHC,401020082,2656519
2026-06-08 12:00:26,1997,NULL,4,9.4,EF 쏘나타 2.0 DOHC,401030006,2204346
2026-06-08 12:00:26,1997,NULL,3,11.1,EF 쏘나타 2.0 DOHC,401030007,1866743
2026-06-08 12:00:26,1997,NULL,4,10.1,EF 쏘나타 2.0 DOHC,401030008,2051569
2026-06-08 12:00:04,4498,NULL,3,6.7,에쿠스리무진 4.5 MPI(5인),401030014,3092664
2026-06-08 12:00:06,2476,NULL,3,9.7,그레이스 터보 15인,401030017,1839665
2026-06-08 12:00:05,2476,NULL,3,9,스타렉스단축 2WD 7인승,401030018,1982750
2026-06-08 12:00:06,2476,NULL,3,9.2,스타렉스단축 2WD 7인승,401030019,1939647
2026-06-08 12:00:06,2476,NULL,3,9.4,스타렉스장축 2WD 9인승,401030022,1898378
2026-06-08 12:00:06,2476,NULL,3,9.3,스타렉스장축 2WD 6밴,401030029,1918790
2026-06-08 12:00:06,2497,NULL,2,10.6,스타렉스 7인,401030031,1683467
2026-06-08 12:00:26,2497,NULL,2,11.1,스타렉스장축 9인,401030035,1607635
2026-06-08 12:00:06,2497,NULL,2,11,스타렉스장축 3밴,401030039,1622250
2026-06-08 12:00:26,2972,NULL,4,5.8,스타렉스장축 11인,401030045,2045147
2026-06-08 12:00:05,2972,NULL,4,6.5,스타렉스장축 11인,401030046,1824900
2026-06-08 12:00:06,2607,NULL,900,10.4,포터초장축슈퍼캡,401030054,1715841
2026-06-08 12:00:04,2874,NULL,2,9,렉스턴,401030059,1982750
2026-06-08 12:00:04,2874,NULL,1,10.4,렉스턴,401030060,1715841
2026-06-08 12:00:27,3199,NULL,2,7.7,체어맨 리무진,401030065,2691019
2026-06-08 12:00:06,1793,NULL,3,10.9,스펙트라 1.8 DOHC,401030068,1900995
2026-06-08 12:00:25,2493,NULL,3,8.8,옵티마 리갈 2.5 DOHC,401030069,2354642
2026-06-08 12:00:02,1997,NULL,4,9.4,옵티마 리갈 2.0 DOHC,401030070,2204346
2026-06-08 12:00:01,2299,NULL,3,9.4,무쏘 2.3 - 밴,401030077,1898378
2026-06-08 12:00:01,2874,NULL,2,9.1,무쏘 2.9 - 밴,401030079,1960962
2026-06-08 12:00:01,2874,NULL,1,11,무쏘 2.9 - 밴,401030080,1622250
2026-06-08 12:00:01,2874,NULL,2,9.2,무쏘 2.9 - 밴,401030081,1939647
2026-06-08 12:00:26,2874,NULL,1,11.1,무쏘 2.9 - 밴,401030082,1607635
2026-06-08 12:00:04,2874,NULL,900,10.8,무쏘 - 픽업,401030084,1652292
2026-06-08 12:00:01,2874,NULL,1,11,코란도-소프트탑,401030086,1622250
2026-06-08 12:00:01,2299,NULL,3,9.3,코란도 2.3,401030087,1918790
2026-06-08 12:00:04,2299,NULL,2,11.4,코란도 2.3,401030088,1565329
2026-06-08 12:00:01,2874,NULL,2,9.1,코란도 2.9,401030089,1960962
2026-06-08 12:00:01,2874,NULL,1,11.1,코란도 2.9,401030090,1607635
2026-06-08 12:00:02,2957,NULL,1,10.2,프레지오 12인승,401030103,1749485
2026-06-08 12:00:25,3996,NULL,3,7.3,벤츠 ML400CDI,401030112,2444486
2026-06-08 12:00:06,2967,NULL,5,7.9,재규어 S-Type 3.0,401030114,2622892
2026-06-08 12:00:25,4511,NULL,5,5.6,포르쉐 Cayenne S,401030120,3700152
2026-06-08 12:00:06,1984,NULL,4,10.5,VW Golf GL 2.0,401030122,1973414
2026-06-08 12:00:06,2771,NULL,2,9,VW Passat 2.8 V6 4Motion,401030125,2302317
2026-06-08 12:00:05,2687,NULL,1,10.1,포르쉐 Boxxter,401030132,2051569
2026-06-08 12:00:06,5327,시보레,5,5.7,체비밴 G1500,401030138,3635237
2026-06-08 12:00:25,5972,NULL,5,7.6,BMW 760Li,401030141,2726428
2026-06-08 12:00:06,2319,NULL,3,9.6,볼보 S60 T5,401030143,2158422
2026-06-08 12:00:06,2979,NULL,4,6.7,BMW 730Li,401030150,3092664
2026-06-08 12:00:26,1975,NULL,3,12.4,투스카니 2.0 CVVT,401030157,1671036
2026-06-08 12:00:04,3555,NULL,1,10.2,재규어 3.5(XJ8),401030159,2031456
2026-06-08 12:00:27,1975,NULL,3,10.9,쎄라토 2.0 DOHC,401030164,1900995
2026-06-08 12:00:04,2696,NULL,1,10.4,렉스턴 2.7DI 4WD,401030166,1715841
2026-06-08 12:00:06,2499,NULL,3,10.1,그랜드보이저,401030168,1766807
2026-06-08 12:00:27,1495,NULL,4,11,라비타 1.5 DOHC,401030170,1883714
2026-06-08 12:00:02,1495,NULL,3,13.2,라비타 1.5 DOHC,401030171,1569761
2026-06-08 12:00:06,2902,NULL,4,10,테라칸 2.9TCI 4WD,401030176,1784475
2026-06-08 12:00:02,2685,NULL,2,9.3,짚 그랜드 체로키,401040012,1918790
2026-06-08 12:00:02,4966,NULL,3,6.5,벤츠 E500,401040013,3187823
2026-06-08 12:00:02,2171,NULL,4,7.9,BMW 520i,401040014,2622892
2026-06-08 12:00:02,2497,NULL,2,11.5,쏘렌토 디젤 4 ×2,401040016,1551717
2026-06-08 12:00:02,2497,NULL,3,10.3,쏘렌토 디젤 4 ×2,401040017,1732500
2026-06-08 12:00:02,2497,NULL,2,11.6,쏘렌토 디젤 4 ×4,401040018,1538341
2026-06-08 12:00:02,2497,NULL,3,10.1,쏘렌토 디젤 4 ×4,401040019,1766807
2026-06-08 12:00:02,2902,NULL,2,10,카니발 디젤 2.9,401040021,1784475
2026-06-08 12:00:02,3497,NULL,4,6.6,쏘렌토 3.5 DOHC,401040022,3139523
2026-06-08 12:00:06,2979,NULL,1,9.7,BMW Z4 3.0,401040023,2136170
2026-06-08 12:00:02,2494,NULL,4,7.9,BMW 325Xi,401040025,2622892
2026-06-08 12:00:02,4601,NULL,4,6,에비에이터,401040026,3453475
2026-06-08 12:00:06,2671,NULL,4,6.3,Audi A6 2.7 Quattro,401040028,3289024
2026-06-08 12:00:06,1587,NULL,3,11.8,푸조 206CC 1.6,401040029,1756004
2026-06-08 12:00:06,2946,NULL,1,9.4,푸조 607 3.0,401040031,2204346
2026-06-08 12:00:06,1991,NULL,2,11.9,투싼 2.0디젤 4WD,401040032,1499559
2026-06-08 12:00:06,1991,NULL,1,13.9,투싼 2.0디젤 4WD,401040033,1283795
2026-06-08 12:00:06,1991,NULL,1,14.5,투싼 2.0디젤 2WD,401040035,1230672
2026-06-08 12:00:04,1991,NULL,1,14.4,싼타페 2.0 디젤 VGT 2WD,401040037,1239219
2026-06-08 12:00:04,1991,NULL,3,11.3,싼타페 2.0 디젤 VGT 4WD,401040038,1579181
2026-06-08 12:00:04,1991,NULL,1,13.9,싼타페 2.0 디젤 VGT 4WD,401040039,1283795
2026-06-08 12:00:04,1991,NULL,2,12.3,싼타페 2.0 디젤 WGT 2WD,401040040,1450793
2026-06-08 12:00:02,1991,NULL,1,14.6,싼타페 2.0 디젤 WGT 2WD,401040041,1222243
2026-06-08 12:00:02,2874,NULL,2,9.9,코란도 소프트탑 2WD 자동4단,401040042,1802500
2026-06-08 12:00:02,2874,NULL,1,11,코란도 소프트탑 2WD 수동5단,401040043,1622250
2026-06-08 12:00:02,2696,NULL,1,11.1,로디우스 DI 9인승 2WD,401040044,1607635
2026-06-08 12:00:02,2696,NULL,1,10.2,로디우스 DI 9인승 2WD,401040045,1749485
2026-06-08 12:00:04,2696,NULL,1,10.2,로디우스 DI 11인승 2WD,401040047,1749485
2026-06-08 12:00:25,2497,NULL,4,10,스타렉스 A-ENG 장축 11인,401040062,1784475
2026-06-08 12:00:05,2497,NULL,3,11.1,스타렉스 A-ENG 장축 6밴,401040071,1607635
2026-06-08 12:00:05,2476,NULL,3,10.6,스타렉스 터보인터쿨러 단축 7인,401040072,1683467
2026-06-08 12:00:05,2476,NULL,4,9.4,스타렉스 터보인터쿨러 단축 7인,401040073,1898378
2026-06-08 12:00:26,2476,NULL,4,9.8,스타렉스 터보인터쿨러 단축 3밴,401040074,1820893
2026-06-08 12:00:05,2476,NULL,3,10.8,스타렉스 터보인터쿨러 단축 3밴,401040075,1652292
2026-06-08 12:00:05,2476,NULL,3,10.6,스타렉스 터보인터쿨러 장축 6밴,401040076,1683467
2026-06-08 12:00:05,1341,NULL,3,13,베르나 α-1.3 MPI 4Door Sedan,401040077,1593912
2026-06-08 12:00:05,1341,NULL,2,16.2,베르나 α-1.3 MPI 4Door Sedan,401040078,1279065
