BRCD_NO,PRDT_NM,CMPNY_NM,PRDLST_REPORT_NO,PRDLST_NM,HRNK_PRDLST_NM,HTRK_PRDLST_NM,LAST_UPDT_DTM
8809189030035,인해농원 바지락된장 1Kg,인해농원,200503644917,된장,장류,가공식품,2015-01-22 11:12:12.0
8809189031032,인해농원 바지락된장 500g,인해농원,200503644917,된장,장류,가공식품,2015-01-22 11:12:12.0
8809191580191,장터 껍질벗긴들깨500g,주식회사 감로정,2005036494094,기타 농산가공품,기타 농산가공품류,가공식품,2015-01-22 11:12:12.0
8809191580238,참진 장터 껍질벗긴들깨 1KG,주식회사 감로정,2005036494094,기타 농산가공품,기타 농산가공품류,가공식품,2015-01-22 11:12:12.0
8803601850317,이마트 먹는 해양심층수로 담근 포기김치 2.3*2,(주)한성식품,20030294318215,김치,김치류,가공식품,2015-01-22 11:12:12.0
8803601820075,이마트 먹는해양심층수로담근 포기김치 2.5kg,(주)한성식품,20030294318215,김치,김치류,가공식품,2015-01-22 11:12:12.0
8803601820129,이마트 먹는해양심층수로담근 포기김치 4.5kg,(주)한성식품,20030294318215,김치,김치류,가공식품,2015-01-22 11:12:12.0
8809361850062,조병희식품 5년숙성된장 1Kg,조병희식품,2008037200611,한식된장,장류,가공식품,2015-01-22 11:12:12.0
8809361850055,조병희식품 5년숙성된장 500g,조병희식품,2008037200611,한식된장,장류,가공식품,2015-01-22 11:12:12.0
8809361850048,조병희식품 5년숙성된장 330g,조병희식품,2008037200611,한식된장,장류,가공식품,2015-01-22 11:12:12.0
8809361850468,조병희식품 새우볶음고추장 500g,조병희식품,2008037200612,혼합장,장류,가공식품,2015-01-22 11:12:12.0
8809361850451,조병희식품 새우볶음고추장 330g,조병희식품,2008037200612,혼합장,장류,가공식품,2015-01-22 11:12:12.0
8809361850505,조병희식품 햇 간장 420ml,조병희식품,2008037200613,한식간장,장류,가공식품,2015-01-22 11:12:12.0
8809361850499,조병희식품 햇 간장 300ml,조병희식품,2008037200613,한식간장,장류,가공식품,2015-01-22 11:12:12.0
8809283190079,단호박두부과자80g,김성모푸드,200902751144,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8807379413026,톳나물125,아세아식품,1997060718829,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8809368810380,햄치즈 잉글리쉬머핀,(주)더쉐프,20110275237232,즉석조리식품,즉석섭취.편의식품류,가공식품,2015-01-22 11:12:12.0
8809368810397,크로크무슈,(주)더쉐프,20110275237236,즉석조리식품,즉석섭취.편의식품류,가공식품,2015-01-22 11:12:12.0
8809406250123,(주)면누리콩칼국수500g,(주)면누리,2011035559511,생면,면류,가공식품,2015-01-22 11:12:12.0
8801074603607,한성 계란옷입은통살명태전 500g,한성기업(주),19840607028145,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8801074256315,한성 야채소시지140g,한성기업(주),19840607028148,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8801074256414,한성 카레 소시지 140g,한성기업(주),19840607028149,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8809268610073,구스F&B(주) 시나몬롤(번) 70G X 1개,구스에프앤비(주),20080275252163,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8802797411029,조미김,평화용사촌복지공장,198006070161,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8809424550069,플레인베이글,(주)고메베이글,2009027505518,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809424550076,어니언베이글,(주)고메베이글,2009027505519,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809424550083,블루베리베이글,(주)고메베이글,2009027505521,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801074256407,한성 새우 소시지 140g,한성기업(주),19840607028150,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8809268610684,구스F&B㈜ 블루베리향코코 150g,구스에프앤비(주),20080275252295,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809359120054,풍기장수홍삼액골드30포,풍기홍삼애제조원,201205540861,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809359120047,풍기장수홍삼액골드60포,풍기홍삼애제조원,201205540861,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809359120092,풍기장수홍삼액프리미엄30포,풍기홍삼애제조원,201205540862,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809359120009,풍기장수홍삼액프리미엄60포,풍기홍삼애제조원,201205540862,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809359120061,풍기홍삼애홍삼정골드240g,풍기홍삼애제조원,201205540864,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809359120085,풍기홍삼애홍삼정골드1200g,풍기홍삼애제조원,201205540864,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809359120078,풍기홍삼애홍삼정골드600g,풍기홍삼애제조원,201205540864,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809283190086,오곡스낵,김성모푸드,2009027511415,과자,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801074601702,해물경단플러스 650G,한성기업(주),19840607028134,기타가공품,기타식품류,가공식품,2015-01-22 11:12:12.0
8801074600408,한성돈까스 800G,한성기업(주),19840607028136,식육함유가공품,식육가공품 및 포장육,가공식품,2015-01-22 11:12:12.0
8801074256100,한성 통통소세지골드300g,한성기업(주),19840607028141,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8801074256278,한성)화이트피쉬45g,한성기업(주),19840607028142,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8801074256087,한성 화이트피쉬145g,한성기업(주),19840607028142,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8801074256094,한성 골드피쉬135g,한성기업(주),19840607028143,어육소시지,어육가공품류,가공식품,2015-01-22 11:12:12.0
8801062317776,롯데_자일리톨알파후레쉬용기_86G,롯데제과(주),19690086003578,추잉껌,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801062317790,롯데_자일리톨알파후레쉬리필_98G,롯데제과(주),19690086003578,추잉껌,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801062317752,롯데_ID미스테리_27G,롯데제과(주),19690086003579,추잉껌,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801062317851,롯데_ID미스테리_27G*2,롯데제과(주),19690086003579,추잉껌,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8809002410549,고추가루600G(청량),(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410570,영양F&S 영양고춧가루130G - VINYL,(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410563,고추가루300G(태양초),(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410525,고추가루600G,(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410341,고추가루1000G,(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410327,영양농원고추가루 250G,(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410556,고추가루1KG,(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410372,고추가루500G(매운맛),(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809002410518,고추가루300G,(주)영양F&S,2006035820025,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8801128509657,(주)팔도 (주)팔도_부산밀면 부산밀면142*4입,(주)팔도,19830358021228,유탕면,면류,가공식품,2015-01-22 11:12:12.0
8801128509633,한국야쿠르트 팔도 부산밀면 142G x 1EA,(주)한국야쿠르트,19830358021228,유탕면,면류,가공식품,2015-01-22 11:12:12.0
8801128509640,한국야쿠르트 팔도 부산밀면 568G x 4EA,(주)한국야쿠르트,19830358021228,유탕면,면류,가공식품,2015-01-22 11:12:12.0
8807267000017,둥굴레차 둥굴레100% 150G,산청군농업협동조합,199406220172,침출차,다류,가공식품,2015-01-22 11:12:12.0
8805425502908,농협 올리브유로 구운 생생재래김 4g*12ea,예맛식품,2004035835279,조미김,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8805425190013,김밥김 30G,예맛식품,2004035835289,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8805425133805,김밥김 특상 220G,예맛식품,2004035835290,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8809332012000,지리산하수오영농조합법인 지리산하수오장아찌 산마늘잎 300G x 1EA,지리산하수오영농조합법인,1988062201211,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809002410228,볶음참깨 300G,(주)영양F&S,2006035820072,기타 농산가공품,기타 농산가공품류,가공식품,2015-01-22 11:12:12.0
8809057795448,카파INT 포르테 커피 반고흐 스페셜 블렌드 200G x 1EA,(주)카파아이엔티,20080358119114,커피,음료류,가공식품,2015-01-22 11:12:12.0
8809057795431,카파INT 포르테 커피 모카마타리 200G x 1EA,(주)카파아이엔티,20080358119115,커피,음료류,가공식품,2015-01-22 11:12:12.0
8802128730010,올리브유김(도시락)10매*3봉,(주)해우촌,200503581043,조미김,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8802128009000,재래광천햇김 40G,(주)해우촌,200503581046,조미김,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8802128770177,(주) 해우촌 이마트 돌자반볶음 70G x 1EA,(주)해우촌,2005035810418,조미김,수산가공식품류,가공식품,2015-01-22 11:12:12.0
