age_label,age_days_min,age_days_max,per_feed_ml_min,per_feed_ml_max,feeds_per_day_min,feeds_per_day_max,total_ml_guide,reliability,source
0~1주,0,7,60,90,7,8,560,med,분유 수유 가이드
1~2주,7,14,80,100,6,8,640,med,분유 수유 가이드
2~4주,14,30,100,120,6,7,720,med,분유 수유 가이드
1~2개월,30,60,120,150,6,7,840,high,분유 수유 가이드
2~3개월,60,90,150,180,5,6,900,high,분유 수유 가이드
3~4개월,90,120,180,200,5,6,960,high,분유 수유 가이드
4~6개월,120,180,200,220,4,5,1000,high,분유 수유 가이드
6~9개월,180,270,200,240,3,4,840,med,이유식 병행
9~12개월,270,365,200,240,2,3,600,med,이유식 병행
